ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w,entry_price,target_price,stop_loss,risk_pct,reward_pct,risk_reward,position_quality,plan_reason
EC,WATCH,76,76,NEUTRAL,40,0,17.11,0.41,16.39,20.49,66.0,0.26,1.89,TREND,32,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,15.95,15.51,12.73,17.11,17.11,18.15,16.38,4.24,6.06,1.43,C,WATCH score 76; ATR-based plan; R/R 1.43
GREK,WATCH,76,76,NEUTRAL,40,0,80.39,-0.4,5.72,14.59,66.9,0.31,1.71,TREND,32,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,77.16,75.61,69.81,80.71,80.39,83.47,78.23,2.69,3.84,1.43,C,WATCH score 76; ATR-based plan; R/R 1.43
JPM,WATCH,76,76,NEUTRAL,40,0,353.36,0.72,5.65,14.21,65.7,0.26,1.46,TREND,32,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,344.3,327.72,311.86,357.31,353.36,369.75,341.89,3.25,4.64,1.43,C,WATCH score 76; ATR-based plan; R/R 1.43
KO,WATCH,76,76,NEUTRAL,40,0,87.33,-1.31,3.79,11.28,58.0,0.41,1.92,TREND,32,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,83.99,82.01,76.08,89.08,87.33,91.6,84.34,3.42,4.89,1.43,C,WATCH score 76; ATR-based plan; R/R 1.43
PM,WATCH,76,76,NEUTRAL,40,0,192.53,0.28,5.63,13.61,61.6,0.35,2.22,TREND,32,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,189.01,183.63,169.98,200.17,192.53,205.2,186.17,3.3,6.58,1.99,C,WATCH score 76; ATR-based plan; R/R 1.99
8306.T,WATCH,75,75,NEUTRAL,40,0,3525.0,-3.35,8.56,25.98,55.0,1.08,2.21,MIXED,24,26,7,18,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,3554.0,3322.94,2815.09,3799.0,3525.0,3759.0,3500.69,0.69,6.64,9.63,C,WATCH score 75; ATR-based plan; R/R 9.63
EWA,WATCH,75,75,NEUTRAL,40,0,29.3,-1.74,4.31,0.38,62.0,0.8,1.01,TREND,32,22,3,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,28.71,28.63,27.96,30.26,29.3,30.12,28.73,1.95,2.79,1.43,C,WATCH score 75; ATR-based plan; R/R 1.43
AIR.PA,WATCH,74,74,NEUTRAL,40,0,202.2,-0.88,-1.92,12.41,58.1,1.35,2.21,TREND,32,16,12,14,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,201.16,191.02,190.04,220.2,202.2,210.77,198.14,2.01,4.24,2.11,C,WATCH score 74; ATR-based plan; R/R 2.11
ATD.TO,WATCH,74,74,NEUTRAL,40,0,92.23,2.73,0.93,15.97,51.5,0.86,1.44,TREND,32,21,3,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,90.6,86.63,79.0,93.76,92.23,94.99,89.82,2.61,2.99,1.14,LOW,WATCH score 74; ATR-based plan; R/R 1.14
UCG.MI,WATCH,74,74,NEUTRAL,40,0,81.61,-0.11,-0.43,15.76,47.3,1.18,1.93,TREND,32,16,12,14,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,81.55,78.14,70.42,83.21,81.61,84.82,80.33,1.57,3.94,2.5,C,WATCH score 74; ATR-based plan; R/R 2.50
WOW.AX,WATCH,74,74,NEUTRAL,40,0,39.77,-1.73,-0.03,16.42,49.2,1.27,0.94,TREND,32,16,12,14,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,39.62,38.27,33.56,40.55,39.77,41.01,39.03,1.87,3.12,1.67,C,WATCH score 74; ATR-based plan; R/R 1.67
RACE.MI,WATCH,73,73,NEUTRAL,40,0,340.1,-1.03,2.7,17.48,58.7,1.28,1.91,TREND,32,21,12,8,0,0,strong trend; healthy momentum; volume support,SPY NEUTRAL 58; QQQ BEARISH 26,330.87,317.71,313.06,426.9,340.1,355.8,326.36,4.04,4.62,1.14,LOW,WATCH score 73; ATR-based plan; R/R 1.14
ANZ.AX,WATCH,72,72,NEUTRAL,40,0,37.31,-0.53,5.81,-0.11,61.0,1.38,0.87,TREND,28,18,12,14,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,36.28,35.47,36.47,40.89,37.31,38.3,36.44,2.33,2.66,1.14,LOW,WATCH score 72; ATR-based plan; R/R 1.14
EWC,WATCH,72,72,NEUTRAL,40,0,59.6,-0.31,3.18,3.3,58.5,0.4,0.65,TREND,32,22,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,59.02,58.57,55.63,59.84,59.6,60.62,58.71,1.5,1.71,1.14,LOW,WATCH score 72; ATR-based plan; R/R 1.14
MA,WATCH,72,72,NEUTRAL,40,0,572.84,-0.78,6.2,15.24,67.6,0.68,1.54,TREND,28,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,542.81,514.13,527.94,598.96,572.84,592.89,555.3,3.06,3.5,1.14,LOW,WATCH score 72; ATR-based plan; R/R 1.14
PRU.L,WATCH,72,72,NEUTRAL,40,0,1116.0,-1.67,8.82,-4.45,64.3,1.25,1.48,TREND,28,18,12,14,0,0,strong trend; healthy momentum; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,1068.38,1038.24,1092.55,1220.0,1116.0,1160.57,1077.0,3.49,3.99,1.14,LOW,WATCH score 72; ATR-based plan; R/R 1.14
6098.T,WATCH,71,71,NEUTRAL,40,0,12915.0,-1.41,12.01,75.45,56.2,1.05,2.25,TREND,32,14,7,18,0,0,strong trend; volume support; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,12422.5,11419.24,8646.08,13100.0,12915.0,13641.86,12279.0,4.92,5.63,1.14,LOW,WATCH score 71; ATR-based plan; R/R 1.14
AMGN,WATCH,71,71,NEUTRAL,40,0,383.64,-1.03,2.54,16.4,67.1,0.32,1.66,TREND,32,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,370.69,355.71,343.82,393.1,383.64,399.92,369.4,3.71,4.24,1.14,LOW,WATCH score 71; ATR-based plan; R/R 1.14
BMO.TO,WATCH,71,71,NEUTRAL,40,0,252.45,0.85,2.17,19.4,49.3,0.37,1.36,TREND,32,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,252.11,242.12,202.13,257.76,252.45,259.8,248.33,1.63,2.91,1.78,C,WATCH score 71; ATR-based plan; R/R 1.78
BRK-B,WATCH,71,71,NEUTRAL,40,0,512.29,0.51,0.89,10.05,66.4,0.33,0.98,TREND,32,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,497.58,491.39,490.4,513.81,512.29,523.3,502.66,1.88,2.15,1.14,LOW,WATCH score 71; ATR-based plan; R/R 1.14
CNQ.TO,WATCH,71,71,NEUTRAL,40,0,66.84,0.94,17.93,7.36,69.2,0.14,2.14,TREND,32,21,0,18,0,0,strong trend; healthy momentum; relative strength,SPY NEUTRAL 58; QQQ BEARISH 26,62.02,61.57,56.01,69.5,66.84,69.38,64.62,3.33,3.8,1.14,LOW,WATCH score 71; ATR-based plan; R/R 1.14
