ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w,entry_price,target_price,stop_loss,risk_pct,reward_pct,risk_reward,position_quality,plan_reason
XLV,WATCH,63,68,DEFENSIVE,30,-5,161.44,1.26,5.28,12.53,44.6,0.62,1.4,TREND,32,18,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,160.58,154.16,151.81,164.44,161.44,165.86,158.17,2.02,2.74,1.35,C,WATCH score 63; ATR-based plan; R/R 1.35
DB1.DE,WATCH,62,67,DEFENSIVE,30,-5,258.1,1.94,8.31,-1.34,54.2,0.88,1.49,TREND,32,18,3,14,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,252.16,249.76,234.1,267.3,258.1,267.38,249.98,3.15,3.6,1.14,LOW,WATCH score 62; ATR-based plan; R/R 1.14
EC,WATCH,62,67,DEFENSIVE,30,-5,16.33,-2.16,11.93,19.02,72.3,0.76,1.71,TREND,32,21,0,18,0,-4,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,15.39,15.15,12.51,16.69,16.33,17.15,15.62,4.37,5.0,1.14,LOW,WATCH score 62; ATR-based plan; R/R 1.14
EWC,WATCH,62,67,DEFENSIVE,30,-5,58.82,-0.78,2.67,1.45,61.4,0.71,0.58,TREND,32,17,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,58.47,58.36,55.36,59.49,58.82,59.8,57.96,1.46,1.67,1.14,LOW,WATCH score 62; ATR-based plan; R/R 1.14
IJR,WATCH,62,67,DEFENSIVE,30,-5,144.88,-0.62,0.32,6.09,44.0,1.4,0.76,MIXED,24,13,12,18,0,0,strong trend; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,146.12,141.93,129.43,148.31,144.88,147.6,143.93,0.66,1.88,2.86,C,WATCH score 62; ATR-based plan; R/R 2.86
UUP,WATCH,62,67,DEFENSIVE,30,-5,28.56,0.39,0.11,4.04,62.0,0.78,0.29,TREND,32,17,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,28.4,28.1,27.71,28.56,28.56,28.73,28.41,0.51,0.58,1.14,LOW,WATCH score 62; ATR-based plan; R/R 1.14
ARGT,WATCH,61,66,DEFENSIVE,30,-5,94.11,-2.37,3.73,2.33,57.2,0.72,1.49,RECOVERING,26,22,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,93.04,93.34,90.66,102.94,94.11,97.3,91.64,2.62,3.39,1.29,C,WATCH score 61; ATR-based plan; R/R 1.29
ITUB,WATCH,61,66,DEFENSIVE,30,-5,8.35,-1.53,5.96,-5.11,56.6,1.08,1.61,TREND,32,18,7,9,0,0,strong trend; healthy momentum; volume support,SPY BEARISH 36; QQQ BEARISH 26,8.3,8.02,7.96,9.57,8.35,8.65,8.18,2.09,3.6,1.72,C,WATCH score 61; ATR-based plan; R/R 1.72
WOW.AX,WATCH,61,66,DEFENSIVE,30,-5,39.18,0.67,-2.63,13.93,47.4,1.26,0.9,MIXED,24,16,12,14,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,39.57,37.66,33.21,40.55,39.18,40.26,38.98,0.52,2.77,5.33,C,WATCH score 61; ATR-based plan; R/R 5.33
TSCO.L,WATCH,59,64,DEFENSIVE,30,-5,480.3,1.07,4.44,-0.09,65.9,0.55,1.32,TREND,32,18,0,14,0,0,strong trend; healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,471.43,460.59,458.92,501.2,480.3,494.29,468.06,2.55,2.91,1.14,LOW,WATCH score 59; ATR-based plan; R/R 1.14
