ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w
OR.PA,IGNORE,40,45,DEFENSIVE,30,-5,374.7,1.59,-3.43,2.36,46.7,0.86,1.33,MIXED,16,12,3,14,0,0,developing trend; relative strength,SPY BEARISH 36; QQQ BEARISH 26,380.74,378.74,372.31,406.7
BP.L,IGNORE,39,44,DEFENSIVE,30,-5,548.4,-1.35,16.83,-4.78,80.5,1.15,1.88,RECOVERING,26,4,12,14,0,-12,strong trend; volume support; relative strength; overextended,SPY BEARISH 36; QQQ BEARISH 26,498.82,515.76,491.47,606.3
EWW,IGNORE,39,44,DEFENSIVE,30,-5,75.0,-2.23,1.64,-2.71,47.3,1.03,1.14,MIXED,10,13,7,14,0,0,volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,75.31,76.6,73.74,81.23
WTB.L,IGNORE,39,44,DEFENSIVE,30,-5,2437.0,1.88,-0.73,2.18,60.1,1.63,1.49,RECOVERING,16,12,12,4,0,0,developing trend; volume support,SPY BEARISH 36; QQQ BEARISH 26,2373.7,2381.06,2559.91,3274.0
BAS.DE,IGNORE,38,43,DEFENSIVE,30,-5,48.57,-0.61,1.7,-11.27,59.8,0.95,1.26,RECOVERING,18,13,3,9,0,0,developing trend,SPY BEARISH 36; QQQ BEARISH 26,47.96,49.22,47.65,54.74
BLK,IGNORE,38,43,DEFENSIVE,30,-5,1037.16,-1.84,5.55,-1.86,58.2,0.72,2.12,RECOVERING,16,18,0,9,0,0,developing trend; healthy momentum,SPY BEARISH 36; QQQ BEARISH 26,1019.35,1033.56,1056.71,1202.59
ENI.MI,IGNORE,38,43,DEFENSIVE,30,-5,22.96,-0.02,13.58,-4.33,76.9,1.01,1.78,RECOVERING,26,4,7,14,0,-8,strong trend; volume support; relative strength; overextended,SPY BEARISH 36; QQQ BEARISH 26,21.25,22.09,19.56,24.89
RIO.L,IGNORE,38,43,DEFENSIVE,30,-5,6869.0,0.19,-4.17,-4.93,45.1,1.54,1.94,RECOVERING,18,8,12,5,0,0,developing trend; volume support,SPY BEARISH 36; QQQ BEARISH 26,6863.8,7358.36,6621.88,8308.0
TXN,IGNORE,38,43,DEFENSIVE,30,-5,284.99,-3.13,-5.98,5.75,45.9,1.27,3.23,MIXED,10,16,12,9,-4,0,healthy momentum; volume support,SPY BEARISH 36; QQQ BEARISH 26,296.27,301.22,223.56,332.28
VALE,IGNORE,38,43,DEFENSIVE,30,-5,14.83,-0.13,-0.07,-13.12,47.8,1.85,2.01,RECOVERING,18,8,12,5,0,0,developing trend; volume support,SPY BEARISH 36; QQQ BEARISH 26,14.63,15.44,14.7,17.82
VOO,IGNORE,38,43,DEFENSIVE,30,-5,678.61,-1.23,0.43,3.21,44.5,0.74,0.74,MIXED,16,9,0,18,0,0,developing trend; relative strength,SPY BEARISH 36; QQQ BEARISH 26,685.7,685.08,642.05,698.26
DGE.L,IGNORE,37,42,DEFENSIVE,30,-5,1562.5,1.43,-0.89,8.16,57.7,0.79,2.06,TREND,22,16,0,4,0,0,strong trend; healthy momentum,SPY BEARISH 36; QQQ BEARISH 26,1541.58,1537.29,1610.67,2121.0
ENEL.MI,IGNORE,37,42,DEFENSIVE,30,-5,9.93,1.11,-1.69,0.03,42.9,0.7,1.29,MIXED,24,4,0,14,0,0,strong trend; relative strength,SPY BEARISH 36; QQQ BEARISH 26,10.07,9.87,9.38,10.28
WES.AX,IGNORE,37,42,DEFENSIVE,30,-5,87.17,-0.09,-3.99,18.7,39.4,0.27,1.43,MIXED,24,4,0,14,0,0,strong trend; relative strength,SPY BEARISH 36; QQQ BEARISH 26,90.05,84.91,81.43,94.76
BA.L,IGNORE,36,41,DEFENSIVE,30,-5,1971.0,0.31,9.02,-1.5,43.5,0.38,2.2,RECOVERING,22,10,0,9,0,0,strong trend,SPY BEARISH 36; QQQ BEARISH 26,1898.99,1900.64,1952.32,2331.0
NESN.SW,IGNORE,36,41,DEFENSIVE,30,-5,80.67,1.74,-3.15,0.29,41.7,1.0,2.2,MIXED,16,4,7,14,0,0,developing trend; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,83.84,81.06,78.99,86.17
REL.L,IGNORE,36,41,DEFENSIVE,30,-5,2568.0,4.77,8.68,-3.13,65.6,0.96,1.86,RECOVERING,16,18,3,4,0,0,developing trend; healthy momentum,SPY BEARISH 36; QQQ BEARISH 26,2434.2,2449.64,2728.75,3936.0
SGE.L,IGNORE,36,41,DEFENSIVE,30,-5,858.2,4.45,4.97,-2.72,56.3,0.86,1.91,RECOVERING,16,18,3,4,0,0,developing trend; healthy momentum,SPY BEARISH 36; QQQ BEARISH 26,838.26,844.02,943.24,1263.0
WBC.AX,IGNORE,35,40,DEFENSIVE,30,-5,37.58,1.18,6.64,-2.26,72.6,0.32,1.03,TREND,22,13,0,9,0,-4,strong trend,SPY BEARISH 36; QQQ BEARISH 26,36.27,35.87,38.49,42.95
XLK,IGNORE,35,40,DEFENSIVE,30,-5,178.45,-1.01,-2.51,11.14,47.1,0.75,1.92,MIXED,10,16,0,14,0,0,healthy momentum; relative strength,SPY BEARISH 36; QQQ BEARISH 26,181.9,183.3,154.5,198.21
RMS.PA,IGNORE,34,39,DEFENSIVE,30,-5,1643.0,1.26,1.05,1.2,52.3,0.71,1.91,MIXED,14,17,0,8,0,0,developing trend; healthy momentum,SPY BEARISH 36; QQQ BEARISH 26,1643.67,1641.2,1897.03,2270.0
2330.TW,IGNORE,33,38,DEFENSIVE,30,-5,2350.0,0.0,-0.84,10.07,41.7,0.5,2.37,MIXED,16,8,0,14,0,0,developing trend; relative strength,SPY BEARISH 36; QQQ BEARISH 26,2415.75,2366.9,1877.53,2510.0
7203.T,IGNORE,33,38,DEFENSIVE,30,-5,2960.5,2.19,6.95,-3.47,54.1,0.59,1.53,RECOVERING,16,18,0,4,0,0,developing trend; healthy momentum,SPY BEARISH 36; QQQ BEARISH 26,2863.38,2865.09,3185.35,3944.0
SSE.L,IGNORE,33,38,DEFENSIVE,30,-5,2422.0,-0.74,0.04,-5.56,44.4,0.53,1.85,MIXED,24,5,0,9,0,0,strong trend,SPY BEARISH 36; QQQ BEARISH 26,2456.03,2400.83,2364.46,2757.5
SU.TO,IGNORE,33,38,DEFENSIVE,30,-5,93.48,2.48,20.54,4.88,88.6,1.12,1.64,RECOVERING,26,3,7,18,0,-16,strong trend; volume support; relative strength; overextended,SPY BEARISH 36; QQQ BEARISH 26,83.21,85.54,75.21,95.81
7974.T,IGNORE,32,37,DEFENSIVE,30,-5,7375.0,5.83,11.93,-6.56,61.4,0.89,2.35,RECOVERING,16,18,3,0,0,0,developing trend; healthy momentum,SPY BEARISH 36; QQQ BEARISH 26,7065.0,7144.34,9642.88,14655.0
ACWI,IGNORE,32,37,DEFENSIVE,30,-5,154.34,-1.18,0.07,2.54,44.3,0.4,0.76,MIXED,10,9,0,18,0,0,relative strength,SPY BEARISH 36; QQQ BEARISH 26,156.11,156.21,146.53,159.97
EWJ,IGNORE,32,37,DEFENSIVE,30,-5,91.1,-1.18,-1.63,3.9,44.1,0.87,1.33,MIXED,16,4,3,14,0,0,developing trend; relative strength,SPY BEARISH 36; QQQ BEARISH 26,92.84,92.7,87.04,96.97
VRTX,IGNORE,32,37,DEFENSIVE,30,-5,473.09,0.11,-0.44,11.05,16.3,0.69,2.11,MIXED,24,4,0,9,0,0,strong trend,SPY BEARISH 36; QQQ BEARISH 26,491.98,463.72,450.81,529.59
XLP,IGNORE,32,37,DEFENSIVE,30,-5,83.21,-1.39,-1.46,1.06,42.3,0.96,1.19,MIXED,16,4,3,14,0,0,developing trend; relative strength,SPY BEARISH 36; QQQ BEARISH 26,84.2,84.18,82.12,90.01
ASHR,IGNORE,31,36,DEFENSIVE,30,-5,34.78,-0.54,-3.01,0.17,47.6,0.42,2.01,MIXED,10,12,0,14,0,0,relative strength,SPY BEARISH 36; QQQ BEARISH 26,35.3,35.56,33.94,37.3
AVGO,IGNORE,31,36,DEFENSIVE,30,-5,392.47,-1.09,2.72,-6.15,62.5,0.72,2.73,RECOVERING,18,13,0,9,-4,0,developing trend,SPY BEARISH 36; QQQ BEARISH 26,381.25,400.09,364.7,481.57
TUR,IGNORE,31,36,DEFENSIVE,30,-5,39.44,-0.83,-0.3,-8.43,51.0,0.32,0.94,RECOVERING,18,8,0,10,0,0,developing trend; relative strength,SPY BEARISH 36; QQQ BEARISH 26,39.09,39.44,38.07,43.74
CNQ.TO,IGNORE,30,35,DEFENSIVE,30,-5,66.2,2.72,18.09,4.35,82.0,0.47,1.62,RECOVERING,26,3,0,18,0,-12,strong trend; relative strength; overextended,SPY BEARISH 36; QQQ BEARISH 26,59.4,61.75,55.41,69.5
CSCO,IGNORE,30,35,DEFENSIVE,30,-5,112.76,0.49,-5.82,27.76,50.1,0.64,2.43,MIXED,10,16,0,9,0,0,healthy momentum,SPY BEARISH 36; QQQ BEARISH 26,114.72,117.33,88.15,130.0
TTE.PA,IGNORE,30,35,DEFENSIVE,30,-5,75.9,-0.37,11.03,-4.28,80.2,0.93,1.59,RECOVERING,26,4,3,14,0,-12,strong trend; relative strength; overextended,SPY BEARISH 36; QQQ BEARISH 26,70.05,73.21,66.05,81.02
0388.HK,IGNORE,29,34,DEFENSIVE,30,-5,401.2,0.55,10.77,-1.57,74.9,0.2,1.01,RECOVERING,16,13,0,9,0,-4,developing trend,SPY BEARISH 36; QQQ BEARISH 26,386.61,390.58,410.58,462.8
1299.HK,IGNORE,29,34,DEFENSIVE,30,-5,78.15,0.06,10.38,-6.01,74.7,0.22,1.39,RECOVERING,16,13,0,9,0,-4,developing trend,SPY BEARISH 36; QQQ BEARISH 26,74.69,77.07,80.76,90.95
6367.T,IGNORE,29,34,DEFENSIVE,30,-5,24015.0,0.57,-0.15,11.83,9.3,0.42,1.16,MIXED,16,4,0,14,0,0,developing trend; relative strength,SPY BEARISH 36; QQQ BEARISH 26,24881.75,24107.6,20839.58,26150.0
BRK-B,IGNORE,29,34,DEFENSIVE,30,-5,490.85,0.3,-0.8,3.82,27.5,0.65,0.97,MIXED,20,0,0,14,0,0,developing trend; relative strength,SPY BEARISH 36; QQQ BEARISH 26,495.32,488.8,490.12,513.81
FXB,IGNORE,29,34,DEFENSIVE,30,-5,128.14,-0.36,1.23,-1.6,49.5,1.07,0.38,WEAK,0,13,7,14,0,0,volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,128.42,128.6,128.82,133.09
SAP.DE,IGNORE,29,34,DEFENSIVE,30,-5,140.2,9.26,3.74,-3.64,50.2,1.64,3.05,RECOVERING,8,18,12,0,-4,0,healthy momentum; volume support,SPY BEARISH 36; QQQ BEARISH 26,137.77,143.99,175.68,254.75
SOXX,IGNORE,27,32,DEFENSIVE,30,-5,551.24,-0.77,-8.36,21.04,46.3,0.68,3.9,MIXED,16,11,0,9,-4,0,developing trend,SPY BEARISH 36; QQQ BEARISH 26,570.36,569.0,396.36,655.01
SMH,IGNORE,26,31,DEFENSIVE,30,-5,580.17,-1.15,-6.26,14.6,46.7,0.72,3.19,MIXED,10,16,0,9,-4,0,healthy momentum,SPY BEARISH 36; QQQ BEARISH 26,597.94,598.88,444.6,668.91
