scan_id,saved_at,ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w
20260726_104719,2026-07-26T10:47:19.431192+00:00,VWO,IGNORE,15,20,DEFENSIVE,30,-5,58.1,-1.21,-1.48,-1.07,44.4,0.67,1.09,MIXED,10,0,0,10,0,0,relative strength,SPY BEARISH 36; QQQ BEARISH 26,58.99,59.3,56.59,61.24
20260726_104719,2026-07-26T10:47:19.431192+00:00,EWG,IGNORE,14,19,DEFENSIVE,30,-5,40.59,-1.74,0.1,-3.63,30.2,0.77,1.12,WEAK,4,1,0,14,0,0,relative strength,SPY BEARISH 36; QQQ BEARISH 26,41.36,41.94,41.89,44.56
20260726_104719,2026-07-26T10:47:19.431192+00:00,FXE,IGNORE,14,19,DEFENSIVE,30,-5,105.03,-0.28,0.25,-2.82,42.1,0.3,0.26,WEAK,0,5,0,14,0,0,relative strength,SPY BEARISH 36; QQQ BEARISH 26,105.34,106.27,107.38,111.09
20260726_104719,2026-07-26T10:47:19.431192+00:00,GSK.L,IGNORE,14,19,DEFENSIVE,30,-5,1919.5,0.73,-3.2,0.08,38.3,0.68,1.51,WEAK,10,0,0,9,0,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,1948.47,1931.38,1921.56,2268.0
20260726_104719,2026-07-26T10:47:19.431192+00:00,INDA,IGNORE,14,19,DEFENSIVE,30,-5,47.63,-1.22,-4.03,-3.54,29.8,2.14,0.73,WEAK,6,-4,12,5,0,0,weak momentum; volume support,SPY BEARISH 36; QQQ BEARISH 26,48.98,48.56,51.1,55.29
20260726_104719,2026-07-26T10:47:19.431192+00:00,PG,IGNORE,14,19,DEFENSIVE,30,-5,146.97,-1.45,-3.33,-0.96,41.9,0.73,1.55,MIXED,14,0,0,5,0,0,developing trend,SPY BEARISH 36; QQQ BEARISH 26,148.66,146.83,148.16,167.2
20260726_104719,2026-07-26T10:47:19.431192+00:00,8035.T,IGNORE,13,18,DEFENSIVE,30,-5,62660.0,-4.99,-16.83,36.66,32.9,0.91,3.83,MIXED,16,-1,3,4,-4,0,developing trend; weak momentum,SPY BEARISH 36; QQQ BEARISH 26,70832.5,64631.6,44455.12,78800.0
20260726_104719,2026-07-26T10:47:19.431192+00:00,COIN,IGNORE,13,18,DEFENSIVE,30,-5,161.16,-2.99,7.36,-18.06,46.9,0.76,4.31,RECOVERING,8,18,0,0,-8,0,healthy momentum; volatility risk,SPY BEARISH 36; QQQ BEARISH 26,159.53,169.07,218.87,391.66
20260726_104719,2026-07-26T10:47:19.431192+00:00,HYG,IGNORE,13,18,DEFENSIVE,30,-5,79.23,-0.36,-0.78,-1.59,35.2,1.74,0.19,WEAK,0,-4,12,10,0,0,weak momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,79.71,79.79,80.28,81.32
20260726_104719,2026-07-26T10:47:19.431192+00:00,LQD,IGNORE,13,18,DEFENSIVE,30,-5,106.26,-0.38,-2.88,-2.77,19.3,1.23,0.3,WEAK,0,-4,12,10,0,0,weak momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,107.9,108.33,109.91,112.92
20260726_104719,2026-07-26T10:47:19.431192+00:00,TIP,IGNORE,13,18,DEFENSIVE,30,-5,107.49,-0.26,-1.67,-3.83,31.2,1.26,0.32,WEAK,0,-4,12,10,0,0,weak momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,108.37,109.36,110.5,112.2
20260726_104719,2026-07-26T10:47:19.431192+00:00,TLT,IGNORE,13,18,DEFENSIVE,30,-5,83.17,-0.32,-4.82,-3.6,18.9,1.33,0.45,WEAK,0,-4,12,10,0,0,weak momentum; volume support; relative strength,SPY BEARISH 36; QQQ BEARISH 26,84.91,85.12,87.45,92.06
20260726_104719,2026-07-26T10:47:19.431192+00:00,ABX.TO,IGNORE,11,16,DEFENSIVE,30,-5,52.31,-0.89,0.87,-2.33,39.3,0.92,2.45,RECOVERING,8,1,3,4,0,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,51.82,54.86,57.21,71.86
20260726_104719,2026-07-26T10:47:19.431192+00:00,IGV,IGNORE,11,16,DEFENSIVE,30,-5,87.1,-2.16,1.08,1.95,28.6,0.95,1.78,WEAK,0,5,3,8,0,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,91.79,92.77,95.42,117.79
20260726_104719,2026-07-26T10:47:19.431192+00:00,PYPL,IGNORE,10,15,DEFENSIVE,30,-5,56.0,0.88,31.83,12.52,80.9,0.69,4.16,TREND,28,7,0,8,-8,-20,strong trend; volatility risk; overextended,SPY BEARISH 36; QQQ BEARISH 26,48.93,45.54,52.6,78.22
20260726_104719,2026-07-26T10:47:19.431192+00:00,2454.TW,IGNORE,9,14,DEFENSIVE,30,-5,3750.0,-3.23,-3.35,45.63,38.3,1.05,4.27,MIXED,10,-4,7,9,-8,0,weak momentum; volume support; volatility risk,SPY BEARISH 36; QQQ BEARISH 26,3890.5,4056.2,2262.12,4640.0
20260726_104719,2026-07-26T10:47:19.431192+00:00,MSFT,IGNORE,9,14,DEFENSIVE,30,-5,381.58,-2.24,4.41,-10.18,44.3,0.71,2.22,WEAK,0,10,0,4,0,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,385.45,399.7,436.85,542.07
20260726_104719,2026-07-26T10:47:19.431192+00:00,RIO.AX,IGNORE,9,14,DEFENSIVE,30,-5,159.99,-1.69,-7.86,-4.43,34.7,0.86,1.68,MIXED,10,-4,3,5,0,0,weak momentum,SPY BEARISH 36; QQQ BEARISH 26,165.28,175.84,157.34,194.47
20260726_104719,2026-07-26T10:47:19.431192+00:00,UBER,IGNORE,9,14,DEFENSIVE,30,-5,68.91,-2.02,-6.69,-9.65,31.8,1.28,2.31,WEAK,6,-4,12,0,0,0,weak momentum; volume support,SPY BEARISH 36; QQQ BEARISH 26,73.05,72.48,79.4,100.1
20260726_104719,2026-07-26T10:47:19.431192+00:00,ARKK,IGNORE,8,13,DEFENSIVE,30,-5,73.83,-2.89,-3.77,-3.55,33.9,1.11,2.21,WEAK,10,-4,7,0,0,0,weak momentum; volume support,SPY BEARISH 36; QQQ BEARISH 26,78.88,78.01,77.83,92.53
20260726_104719,2026-07-26T10:47:19.431192+00:00,ECH,IGNORE,8,13,DEFENSIVE,30,-5,38.62,-2.33,-1.86,-9.34,46.2,0.43,1.26,WEAK,0,8,0,5,0,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,39.46,40.04,40.05,47.37
20260726_104719,2026-07-26T10:47:19.431192+00:00,XLC,IGNORE,8,13,DEFENSIVE,30,-5,105.38,-3.5,-1.09,-9.01,36.5,1.8,1.35,WEAK,0,-4,12,5,0,0,weak momentum; volume support,SPY BEARISH 36; QQQ BEARISH 26,109.7,111.84,114.55,120.08
20260726_104719,2026-07-26T10:47:19.431192+00:00,XLY,IGNORE,8,13,DEFENSIVE,30,-5,108.76,-4.61,-5.48,-7.71,26.0,1.47,1.48,WEAK,0,-4,12,5,0,0,weak momentum; volume support,SPY BEARISH 36; QQQ BEARISH 26,115.81,116.7,117.25,124.52
20260726_104719,2026-07-26T10:47:19.431192+00:00,0700.HK,IGNORE,7,12,DEFENSIVE,30,-5,434.6,-2.38,3.13,-9.19,44.8,0.63,3.03,WEAK,6,10,0,0,-4,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,452.53,449.46,544.89,677.5
20260726_104719,2026-07-26T10:47:19.431192+00:00,6954.T,IGNORE,7,12,DEFENSIVE,30,-5,6624.0,-4.53,-9.96,5.88,35.3,0.88,3.32,MIXED,10,-1,3,4,-4,0,weak momentum,SPY BEARISH 36; QQQ BEARISH 26,7021.15,7392.04,6254.23,8428.0
20260726_104719,2026-07-26T10:47:19.431192+00:00,AMZN,IGNORE,7,12,DEFENSIVE,30,-5,233.66,-4.57,-0.26,-10.52,40.5,0.87,1.95,WEAK,4,0,3,5,0,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,243.58,249.9,234.53,274.99
20260726_104719,2026-07-26T10:47:19.431192+00:00,GDX,IGNORE,7,12,DEFENSIVE,30,-5,75.02,-2.16,0.58,-18.98,42.7,0.84,2.59,RECOVERING,8,5,3,0,-4,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,74.91,80.75,87.53,115.84
20260726_104719,2026-07-26T10:47:19.431192+00:00,BCE.TO,IGNORE,6,11,DEFENSIVE,30,-5,29.91,-0.96,-9.58,-6.88,46.3,0.9,1.55,WEAK,0,3,3,5,0,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,30.64,32.47,33.24,36.12
20260726_104719,2026-07-26T10:47:19.431192+00:00,KLAC,IGNORE,6,11,DEFENSIVE,30,-5,218.73,1.88,-9.04,15.12,40.8,0.64,6.13,MIXED,16,3,0,4,-12,0,developing trend; volatility risk,SPY BEARISH 36; QQQ BEARISH 26,234.45,220.19,160.02,301.71
20260726_104719,2026-07-26T10:47:19.431192+00:00,LRCX,IGNORE,6,11,DEFENSIVE,30,-5,319.78,0.15,-14.68,23.24,39.4,0.65,5.55,MIXED,16,-1,0,4,-8,0,developing trend; weak momentum; volatility risk,SPY BEARISH 36; QQQ BEARISH 26,349.72,338.13,236.74,433.33
20260726_104719,2026-07-26T10:47:19.431192+00:00,SIFY,IGNORE,6,11,DEFENSIVE,30,-5,14.17,-2.95,-4.51,-4.64,40.0,0.54,3.6,MIXED,10,0,0,5,-4,0,mixed setup,SPY BEARISH 36; QQQ BEARISH 26,15.11,15.69,14.05,17.35
20260726_104719,2026-07-26T10:47:19.431192+00:00,BKNG,IGNORE,5,10,DEFENSIVE,30,-5,172.83,-2.83,-4.65,-2.64,35.8,0.7,2.11,MIXED,14,-4,0,0,0,0,developing trend; weak momentum,SPY BEARISH 36; QQQ BEARISH 26,179.34,170.58,185.96,228.83
