scan_id,saved_at,ticker,signal,score,base_score,market_regime,market_score,market_adjustment,close,change_1d_pct,change_20d_pct,change_60d_pct,rsi_14,volume_ratio,volatility_20d_pct,trend,trend_score,momentum_score,volume_score,relative_strength_score,volatility_penalty,extension_penalty,reason,regime_reason,sma_20,sma_50,sma_200,high_52w
20260712_203120,2026-07-12T20:31:20.763567+00:00,AAPL,BUY,82,76,RISK_ON,86,6,315.32,-0.28,8.14,21.83,61.9,0.53,2.21,TREND,32,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BULLISH 90; QQQ BULLISH 82,298.1,297.77,272.45,316.22
20260712_203120,2026-07-12T20:31:20.763567+00:00,ABNB,BUY,82,76,RISK_ON,86,6,148.62,1.18,15.12,11.03,57.6,0.7,2.27,TREND,32,26,0,18,0,0,strong trend; healthy momentum; relative strength,SPY BULLISH 90; QQQ BULLISH 82,142.88,138.41,130.64,148.93
20260712_203120,2026-07-12T20:31:20.763567+00:00,NVDA,BUY,78,72,RISK_ON,86,6,210.96,4.03,5.26,7.35,50.3,1.01,2.27,RECOVERING,26,26,7,13,0,0,strong trend; healthy momentum; volume support; relative strength,SPY BULLISH 90; QQQ BULLISH 82,201.95,209.2,191.67,235.74
20260712_203120,2026-07-12T20:31:20.763567+00:00,CRWD,WATCH,69,63,RISK_ON,86,6,187.18,-5.66,15.59,87.89,62.6,0.82,2.95,TREND,32,14,3,18,-4,0,strong trend; relative strength,SPY BULLISH 90; QQQ BULLISH 82,180.76,163.22,127.51,199.38
20260712_203120,2026-07-12T20:31:20.763567+00:00,DDOG,WATCH,68,62,RISK_ON,86,6,257.54,-4.26,13.14,132.92,70.6,1.05,2.92,TREND,32,9,7,18,-4,0,strong trend; volume support; relative strength,SPY BULLISH 90; QQQ BULLISH 82,241.84,220.86,159.17,277.49
20260712_203120,2026-07-12T20:31:20.763567+00:00,PANW,WATCH,61,55,RISK_ON,86,6,325.91,-3.67,23.82,101.69,62.0,0.6,3.71,TREND,32,9,0,18,-4,0,strong trend; relative strength,SPY BULLISH 90; QQQ BULLISH 82,310.29,267.09,204.73,357.53
20260712_203120,2026-07-12T20:31:20.763567+00:00,SNOW,WATCH,61,55,RISK_ON,86,6,261.45,-2.26,8.98,92.99,71.9,0.61,2.8,TREND,32,9,0,18,-4,0,strong trend; relative strength,SPY BULLISH 90; QQQ BULLISH 82,246.03,210.13,207.5,280.16
20260712_203120,2026-07-12T20:31:20.763567+00:00,AVGO,WATCH,55,53,RISK_ON,86,6,399.97,-0.28,7.49,5.04,45.6,0.5,3.17,RECOVERING,18,26,0,13,-4,0,developing trend; healthy momentum; relative strength,SPY BULLISH 90; QQQ BULLISH 82,382.76,406.45,362.45,481.57
20260712_203120,2026-07-12T20:31:20.763567+00:00,META,IGNORE,54,52,RISK_ON,86,6,669.21,5.97,17.2,1.01,68.7,2.0,3.55,RECOVERING,22,17,12,13,-4,-8,strong trend; healthy momentum; volume support; relative strength; overextended,SPY BULLISH 90; QQQ BULLISH 82,584.61,600.45,642.72,790.0
20260712_203120,2026-07-12T20:31:20.763567+00:00,AMD,IGNORE,53,51,RISK_ON,86,6,557.89,2.04,23.32,118.72,53.4,0.68,5.1,TREND,32,9,0,18,-8,0,strong trend; relative strength; volatility risk,SPY BULLISH 90; QQQ BULLISH 82,530.95,481.9,287.66,580.91
